station,row_type,year_raw,date_raw,date_iso,span_days,volume_raw,unit,volume_mg,flags,note
North Branch,event,2026,3/15-16/26,2026-03-15,2,263.79,MG,263.79,parsed-from:3/15-16/26,
North Branch,event,,2026-04-04 00:00:00,2026-04-04,1,83.45,MG,83.45,,
North Branch,event,,4/14-15/26,2026-04-14,2,170.775,MG,170.775,parsed-from:4/14-15/26,
North Branch,event,,4/17-18/26,2026-04-17,2,181.44,MG,181.44,parsed-from:4/17-18/26,
North Branch,event,,7/3-5/26,2026-07-03,3,318.33,MG,318.33,parsed-from:7/3-5/26,
North Branch,event,2025,8/18-19/25,2025-08-18,2,125.01,MG,125.01,parsed-from:8/18-19/25,
North Branch,no-discharge-year,2024,No Discharge,,,,MG,,,
North Branch,event,2023,7/2-3/23,2023-07-02,2,490.455,MG,490.455,parsed-from:7/2-3/23,
North Branch,event,,7/5-6/23,2023-07-05,2,86.13,MG,86.13,parsed-from:7/5-6/23,
North Branch,event,2022,2022-05-03 00:00:00,2022-05-03,1,5.67,MG,5.67,,
North Branch,event,,2022-12-15 00:00:00,2022-12-15,1,89.1,MG,89.1,,
North Branch,event,2021,6/26-27/21,2021-06-26,2,247.725,MG,247.725,parsed-from:6/26-27/21,
North Branch,event,,2021-10-25 00:00:00,2021-10-25,1,81.81,MG,81.81,,
North Branch,event,2020,2020-04-30 00:00:00,2020-04-30,1,192.375,MG,192.375,,
North Branch,event,,2020-05-15 00:00:00,2020-05-15,1,174.15,MG,174.15,,
North Branch,event,,5/17-18/20,2020-05-17,2,1004.805,MG,1004.805,parsed-from:5/17-18/20,
North Branch,event,,5/23-24/20,2020-05-23,2,45.765,MG,45.765,parsed-from:5/23-24/20,
North Branch,event,2019,4/30-5/1/2019,2019-04-30,2,716.175,MG,716.175,parsed-from:4/30-5/1/2019,
North Branch,event,,2019-05-02 00:00:00,2019-05-02,1,94.77,MG,94.77,,
North Branch,event,,2019-05-09 00:00:00,2019-05-09,1,227.475,MG,227.475,,
North Branch,event,,2019-05-22 00:00:00,2019-05-22,1,57.78,MG,57.78,,
North Branch,event,,2019-05-27 00:00:00,2019-05-27,1,170.1,MG,170.1,,
North Branch,event,,2019-05-29 00:00:00,2019-05-29,1,93.285,MG,93.285,,
North Branch,event,,2019-06-05 00:00:00,2019-06-05,1,74.385,MG,74.385,,
North Branch,event,,10/2-3/19,2019-10-02,2,272.16,MG,272.16,parsed-from:10/2-3/19,
North Branch,event,,10/26-27/19,2019-10-26,2,300.24,MG,300.24,parsed-from:10/26-27/19,
North Branch,event,,2019-10-30 00:00:00,2019-10-30,1,75.06,MG,75.06,,
North Branch,event,2018,2/20-21/18,2018-02-20,2,628.83,MG,628.83,parsed-from:2/20-21/18,
North Branch,event,,2018-03-01 00:00:00,2018-03-01,1,81.135,MG,81.135,,
North Branch,event,,5/14-15/2018,2018-05-14,2,212.49,MG,212.49,parsed-from:5/14-15/2018,
North Branch,event,,2018-05-21 00:00:00,2018-05-21,1,189.81,MG,189.81,,
